iter	Passed	Remaining
0	108	108066
1	116	58021
2	124	41469
3	133	33238
4	141	28217
5	149	24798
6	157	22342
7	165	20553
8	174	19163
9	181	18002
10	190	17105
11	198	16325
12	206	15662
13	215	15156
14	224	14749
15	233	14386
16	241	13983
17	251	13696
18	259	13374
19	266	13054
20	274	12819
21	283	12595
22	292	12410
23	299	12175
24	306	11970
25	314	11799
26	322	11629
27	331	11499
28	338	11332
29	346	11197
30	354	11087
31	363	10995
32	372	10905
33	380	10821
34	388	10722
35	397	10641
36	406	10567
37	414	10492
38	423	10442
39	431	10365
40	440	10296
41	447	10213
42	455	10147
43	463	10063
44	470	9995
45	479	9944
46	487	9892
47	495	9824
48	503	9762
49	511	9721
50	520	9685
51	530	9666
52	537	9604
53	546	9571
54	553	9515
55	561	9468
56	570	9439
57	579	9404
58	588	9383
59	596	9338
60	604	9305
61	613	9278
62	622	9261
63	630	9219
64	638	9180
65	645	9138
66	654	9119
67	662	9082
68	670	9040
69	678	9010
70	686	8978
71	693	8943
72	702	8921
73	710	8895
74	719	8876
75	727	8849
76	735	8817
77	743	8787
78	750	8753
79	759	8731
80	766	8691
81	774	8672
82	784	8663
83	791	8635
84	801	8622
85	809	8607
86	818	8586
87	827	8572
88	836	8563
89	844	8542
90	854	8531
91	863	8517
92	871	8504
93	881	8498
94	890	8482
95	897	8451
96	905	8428
97	914	8417
98	923	8404
99	933	8401
100	941	8380
101	949	8361
102	960	8361
103	968	8346
104	978	8337
105	986	8322
106	996	8316
107	1004	8300
108	1015	8296
109	1026	8302
110	1035	8290
111	1045	8289
112	1055	8282
113	1063	8266
114	1074	8268
115	1082	8252
116	1091	8239
117	1102	8239
118	1112	8237
119	1121	8226
120	1130	8214
121	1141	8217
122	1152	8218
123	1161	8203
124	1169	8188
125	1179	8178
126	1189	8175
127	1199	8170
128	1208	8159
129	1218	8157
130	1228	8151
131	1237	8139
132	1247	8129
133	1256	8122
134	1266	8118
135	1275	8103
136	1283	8083
137	1291	8065
138	1300	8054
139	1308	8039
140	1317	8027
141	1325	8008
142	1333	7991
143	1341	7974
144	1350	7963
145	1359	7954
146	1367	7936
147	1374	7915
148	1382	7897
149	1391	7883
150	1399	7867
151	1408	7856
152	1416	7842
153	1425	7833
154	1435	7824
155	1443	7808
156	1452	7797
157	1460	7783
158	1469	7770
159	1478	7761
160	1486	7746
161	1495	7736
162	1503	7719
163	1512	7710
164	1520	7695
165	1528	7680
166	1537	7671
167	1547	7661
168	1556	7653
169	1563	7633
170	1572	7622
171	1580	7610
172	1590	7601
173	1600	7597
174	1609	7586
175	1618	7578
176	1628	7570
177	1639	7570
178	1648	7562
179	1657	7552
180	1668	7549
181	1678	7543
182	1687	7533
183	1696	7521
184	1705	7512
185	1714	7502
186	1724	7496
187	1733	7485
188	1743	7480
189	1753	7474
190	1762	7466
191	1772	7457
192	1779	7442
193	1789	7433
194	1797	7422
195	1807	7415
196	1816	7403
197	1824	7389
198	1834	7382
199	1843	7375
200	1854	7370
201	1863	7362
202	1872	7350
203	1880	7337
204	1889	7325
205	1898	7317
206	1907	7308
207	1917	7299
208	1925	7288
209	1933	7274
210	1941	7261
211	1952	7255
212	1961	7246
213	1971	7239
214	1980	7232
215	1990	7225
216	1999	7215
217	2008	7204
218	2017	7195
219	2027	7186
220	2037	7180
221	2047	7175
222	2057	7169
223	2067	7163
224	2077	7157
225	2087	7150
226	2096	7140
227	2106	7132
228	2116	7124
229	2124	7112
230	2133	7102
231	2141	7090
232	2150	7078
233	2160	7073
234	2170	7064
235	2179	7054
236	2188	7044
237	2195	7030
238	2204	7020
239	2214	7011
240	2223	7004
241	2232	6994
242	2240	6981
243	2250	6972
244	2259	6964
245	2270	6958
246	2279	6948
247	2288	6938
248	2297	6929
249	2305	6917
250	2314	6907
251	2323	6897
252	2331	6885
253	2340	6874
254	2348	6861
255	2357	6851
256	2366	6841
257	2376	6835
258	2386	6827
259	2394	6814
260	2403	6805
261	2412	6796
262	2422	6787
263	2430	6777
264	2440	6767
265	2449	6760
266	2458	6748
267	2467	6738
268	2476	6728
269	2486	6722
270	2494	6710
271	2502	6698
272	2511	6688
273	2521	6681
274	2541	6700
275	2551	6692
276	2561	6685
277	2570	6675
278	2578	6663
279	2587	6652
280	2595	6642
281	2605	6632
282	2613	6621
283	2622	6612
284	2631	6602
285	2639	6589
286	2648	6580
287	2657	6570
288	2667	6561
289	2676	6553
290	2684	6540
291	2692	6529
292	2701	6519
293	2710	6509
294	2718	6497
295	2728	6490
296	2737	6479
297	2746	6470
298	2756	6462
299	2765	6452
300	2774	6443
301	2783	6432
302	2791	6420
303	2800	6411
304	2809	6401
305	2817	6389
306	2825	6378
307	2834	6367
308	2843	6358
309	2853	6351
310	2862	6341
311	2870	6328
312	2880	6321
313	2888	6310
314	2898	6302
315	2906	6291
316	2914	6280
317	2923	6269
318	2933	6261
319	2943	6254
320	2951	6242
321	2958	6228
322	2967	6219
323	2976	6209
324	2985	6199
325	2993	6189
326	3002	6178
327	3011	6169
328	3018	6156
329	3027	6146
330	3035	6135
331	3043	6124
332	3052	6113
333	3061	6103
334	3070	6094
335	3079	6085
336	3087	6074
337	3096	6063
338	3104	6053
339	3113	6043
340	3120	6031
341	3129	6020
342	3138	6011
343	3147	6001
344	3156	5991
345	3164	5981
346	3173	5971
347	3182	5962
348	3191	5952
349	3200	5943
350	3209	5934
351	3218	5924
352	3226	5913
353	3234	5902
354	3242	5891
355	3251	5881
356	3259	5870
357	3267	5859
358	3277	5852
359	3286	5843
360	3295	5832
361	3304	5823
362	3312	5813
363	3321	5804
364	3331	5795
365	3340	5786
366	3349	5777
367	3359	5769
368	3368	5759
369	3378	5752
370	3387	5742
371	3396	5734
372	3406	5726
373	3414	5714
374	3422	5703
375	3430	5693
376	3439	5683
377	3447	5673
378	3455	5662
379	3464	5651
380	3471	5640
381	3480	5630
382	3490	5622
383	3498	5612
384	3507	5602
385	3515	5591
386	3523	5580
387	3532	5571
388	3541	5562
389	3550	5553
390	3559	5544
391	3568	5534
392	3576	5524
393	3585	5514
394	3595	5507
395	3603	5496
396	3612	5487
397	3620	5476
398	3630	5468
399	3639	5458
400	3648	5449
401	3658	5442
402	3668	5435
403	3678	5426
404	3686	5416
405	3696	5408
406	3706	5400
407	3715	5390
408	3723	5380
409	3734	5373
410	3742	5363
411	3751	5353
412	3760	5345
413	3769	5336
414	3779	5327
415	3787	5317
416	3797	5309
417	3806	5299
418	3814	5289
419	3823	5279
420	3830	5268
421	3839	5258
422	3847	5248
423	3856	5239
424	3865	5229
425	3875	5221
426	3884	5212
427	3893	5204
428	3903	5196
429	3913	5187
430	3922	5178
431	3931	5169
432	3941	5161
433	3951	5153
434	3960	5144
435	3970	5136
436	3979	5127
437	3989	5118
438	3998	5109
439	4006	5099
440	4016	5091
441	4025	5081
442	4034	5072
443	4044	5064
444	4052	5053
445	4062	5046
446	4072	5038
447	4082	5030
448	4091	5021
449	4100	5011
450	4109	5002
451	4118	4993
452	4126	4982
453	4136	4974
454	4164	4988
455	4173	4979
456	4184	4971
457	4193	4962
458	4202	4953
459	4209	4941
460	4219	4932
461	4227	4922
462	4236	4913
463	4245	4904
464	4253	4893
465	4261	4883
466	4270	4873
467	4279	4864
468	4287	4853
469	4296	4845
470	4305	4835
471	4314	4826
472	4323	4817
473	4332	4807
474	4340	4797
475	4348	4787
476	4357	4777
477	4364	4766
478	4372	4755
479	4380	4745
480	4388	4735
481	4396	4724
482	4404	4714
483	4412	4704
484	4420	4693
485	4427	4682
486	4436	4672
487	4444	4663
488	4453	4653
489	4460	4642
490	4469	4633
491	4478	4624
492	4486	4614
493	4495	4604
494	4504	4595
495	4512	4585
496	4520	4575
497	4528	4565
498	4536	4555
499	4544	4544
500	4553	4535
501	4562	4525
502	4570	4515
503	4578	4506
504	4587	4496
505	4596	4487
506	4604	4477
507	4613	4467
508	4621	4458
509	4629	4448
510	4637	4438
511	4646	4428
512	4655	4419
513	4663	4409
514	4673	4401
515	4682	4391
516	4690	4382
517	4700	4374
518	4710	4365
519	4719	4356
520	4727	4346
521	4737	4337
522	4745	4328
523	4754	4318
524	4763	4310
525	4772	4300
526	4780	4290
527	4788	4280
528	4797	4271
529	4805	4261
530	4814	4251
531	4824	4243
532	4832	4233
533	4842	4225
534	4851	4216
535	4861	4208
536	4870	4199
537	4880	4191
538	4890	4182
539	4900	4174
540	4908	4164
541	4917	4155
542	4925	4145
543	4934	4136
544	4943	4127
545	4951	4117
546	4960	4108
547	4970	4099
548	4979	4090
549	4988	4081
550	4997	4072
551	5005	4062
552	5014	4053
553	5023	4043
554	5031	4034
555	5039	4024
556	5048	4015
557	5056	4005
558	5065	3996
559	5075	3987
560	5085	3979
561	5096	3971
562	5106	3963
563	5115	3954
564	5124	3945
565	5133	3936
566	5142	3927
567	5150	3917
568	5160	3908
569	5167	3898
570	5177	3889
571	5185	3880
572	5194	3870
573	5203	3861
574	5212	3852
575	5220	3842
576	5229	3833
577	5239	3825
578	5248	3816
579	5257	3807
580	5266	3797
581	5274	3787
582	5282	3778
583	5292	3769
584	5300	3760
585	5309	3750
586	5318	3742
587	5327	3733
588	5336	3724
589	5347	3715
590	5355	3706
591	5363	3696
592	5371	3686
593	5381	3678
594	5391	3669
595	5400	3660
596	5407	3650
597	5417	3641
598	5425	3632
599	5434	3622
600	5442	3613
601	5451	3604
602	5460	3595
603	5469	3585
604	5479	3577
605	5486	3567
606	5495	3557
607	5502	3547
608	5513	3539
609	5522	3531
610	5532	3522
611	5540	3512
612	5549	3503
613	5558	3494
614	5566	3484
615	5576	3476
616	5585	3466
617	5592	3457
618	5601	3447
619	5611	3439
620	5622	3431
621	5630	3421
622	5639	3412
623	5648	3403
624	5656	3393
625	5664	3384
626	5672	3374
627	5680	3365
628	5689	3355
629	5698	3346
630	5706	3337
631	5716	3328
632	5726	3320
633	5737	3312
634	5746	3302
635	5755	3293
636	5763	3284
637	5772	3275
638	5780	3265
639	5787	3255
640	5796	3246
641	5805	3237
642	5814	3228
643	5822	3218
644	5831	3209
645	5840	3200
646	5848	3190
647	5857	3181
648	5866	3172
649	5874	3163
650	5882	3153
651	5891	3144
652	5900	3135
653	5907	3125
654	5917	3116
655	5925	3107
656	5933	3097
657	5942	3088
658	5951	3079
659	5959	3070
660	5969	3061
661	5979	3052
662	5987	3043
663	6000	3036
664	6012	3028
665	6020	3019
666	6028	3009
667	6037	3000
668	6047	2992
669	6056	2983
670	6067	2974
671	6076	2966
672	6085	2956
673	6095	2948
674	6105	2939
675	6116	2931
676	6126	2922
677	6137	2914
678	6149	2907
679	6161	2899
680	6173	2891
681	6184	2883
682	6194	2874
683	6204	2866
684	6215	2858
685	6225	2849
686	6234	2840
687	6244	2831
688	6252	2822
689	6260	2812
690	6269	2803
691	6278	2794
692	6287	2785
693	6297	2776
694	6305	2767
695	6315	2758
696	6323	2749
697	6333	2740
698	6341	2730
699	6349	2721
700	6357	2711
701	6365	2702
702	6373	2692
703	6382	2683
704	6390	2674
705	6398	2664
706	6407	2655
707	6415	2645
708	6423	2636
709	6431	2626
710	6439	2617
711	6447	2608
712	6455	2598
713	6463	2588
714	6471	2579
715	6480	2570
716	6489	2561
717	6497	2552
718	6506	2542
719	6515	2533
720	6523	2524
721	6533	2515
722	6541	2506
723	6549	2496
724	6557	2487
725	6565	2477
726	6573	2468
727	6581	2459
728	6589	2449
729	6597	2440
730	6605	2430
731	6614	2421
732	6623	2412
733	6632	2403
734	6641	2394
735	6650	2385
736	6658	2376
737	6666	2366
738	6674	2357
739	6683	2348
740	6691	2338
741	6699	2329
742	6707	2320
743	6715	2310
744	6723	2301
745	6731	2292
746	6740	2283
747	6751	2274
748	6759	2265
749	6767	2255
750	6776	2246
751	6784	2237
752	6791	2227
753	6800	2218
754	6809	2209
755	6818	2200
756	6827	2191
757	6835	2182
758	6844	2173
759	6852	2163
760	6861	2154
761	6870	2145
762	6878	2136
763	6886	2127
764	6895	2118
765	6902	2108
766	6910	2099
767	6918	2090
768	6927	2080
769	6935	2071
770	6944	2062
771	6954	2053
772	6964	2045
773	6974	2036
774	6984	2027
775	6993	2018
776	7002	2009
777	7012	2000
778	7023	1992
779	7033	1983
780	7044	1975
781	7054	1966
782	7065	1958
783	7075	1949
784	7084	1940
785	7094	1931
786	7105	1922
787	7115	1914
788	7125	1905
789	7135	1896
790	7145	1887
791	7155	1879
792	7162	1869
793	7173	1861
794	7182	1852
795	7192	1843
796	7200	1834
797	7210	1825
798	7218	1816
799	7226	1806
800	7236	1797
801	7245	1788
802	7254	1779
803	7263	1770
804	7272	1761
805	7280	1752
806	7288	1743
807	7297	1733
808	7305	1724
809	7313	1715
810	7322	1706
811	7330	1697
812	7337	1687
813	7346	1678
814	7355	1669
815	7364	1660
816	7372	1651
817	7380	1642
818	7389	1633
819	7397	1623
820	7405	1614
821	7413	1605
822	7421	1596
823	7429	1586
824	7438	1577
825	7445	1568
826	7454	1559
827	7461	1550
828	7470	1540
829	7477	1531
830	7486	1522
831	7494	1513
832	7502	1504
833	7510	1494
834	7518	1485
835	7526	1476
836	7533	1467
837	7541	1457
838	7549	1448
839	7556	1439
840	7565	1430
841	7574	1421
842	7582	1412
843	7590	1403
844	7598	1393
845	7606	1384
846	7614	1375
847	7622	1366
848	7630	1357
849	7638	1347
850	7646	1338
851	7655	1329
852	7663	1320
853	7670	1311
854	7679	1302
855	7687	1293
856	7695	1284
857	7703	1274
858	7711	1265
859	7719	1256
860	7728	1247
861	7736	1238
862	7744	1229
863	7752	1220
864	7765	1211
865	7774	1203
866	7783	1194
867	7792	1185
868	7801	1176
869	7810	1167
870	7818	1157
871	7827	1148
872	7837	1140
873	7846	1131
874	7854	1122
875	7862	1112
876	7870	1103
877	7878	1094
878	7887	1085
879	7895	1076
880	7903	1067
881	7913	1058
