iter	Logloss
0	0.6689486026
1	0.6490072134
2	0.6325312425
3	0.6188568327
4	0.6073954843
5	0.5977922086
6	0.5897485093
7	0.5828967839
8	0.5769556522
9	0.5719674596
10	0.5679096732
11	0.5644117499
12	0.5613922014
13	0.5587642664
14	0.5563791168
15	0.5542803548
16	0.552685793
17	0.5511923541
18	0.5497534602
19	0.5486690285
20	0.5476984767
21	0.5467721288
22	0.5457931292
23	0.5449985876
24	0.544410663
25	0.5437935648
26	0.5433037859
27	0.5428461296
28	0.5423669094
29	0.5418776669
30	0.54145097
31	0.5410721249
32	0.5408135226
33	0.5405425076
34	0.5403081333
35	0.5399855698
36	0.5397394091
37	0.5395118644
38	0.5393435326
39	0.5391308046
40	0.5388930363
41	0.538721874
42	0.5385549292
43	0.538391997
44	0.5382325107
45	0.5381196154
46	0.5379037354
47	0.5378191311
48	0.5376626044
49	0.5375848654
50	0.5374616745
51	0.537353645
52	0.5372772178
53	0.5371742788
54	0.5370596886
55	0.53695217
56	0.536816303
57	0.5367367674
58	0.536654029
59	0.5366008419
60	0.5364951968
61	0.5364303082
62	0.5363745631
63	0.5363365752
64	0.5362052283
65	0.5361351796
66	0.5360703239
67	0.5360413698
68	0.5359536381
69	0.5358813966
70	0.5358095888
71	0.5357179569
72	0.5356603741
73	0.5356252761
74	0.5355682751
75	0.5355013411
76	0.5354659407
77	0.5354031983
78	0.5353519002
79	0.5352587176
80	0.5352503585
81	0.5351625518
82	0.5351091406
83	0.5350645083
84	0.5350153648
85	0.5349175337
86	0.5348885323
87	0.5348413316
88	0.5347811802
89	0.5347251979
90	0.534693888
91	0.534616673
92	0.5345315532
93	0.5345038259
94	0.5344597012
95	0.5343903782
96	0.5342924616
97	0.5342541054
98	0.5342078858
99	0.5341805482
100	0.5341616557
101	0.5341317867
102	0.5340230027
103	0.5339918702
104	0.5339434403
105	0.5338866809
106	0.5338532516
107	0.5338010506
108	0.5337660873
109	0.5337127779
110	0.5336610731
111	0.5336332242
112	0.5335649013
113	0.5335279012
114	0.5334702412
115	0.5334379751
116	0.5333923272
117	0.5333629716
118	0.5333139389
119	0.5332743148
120	0.5332208445
121	0.5331825284
122	0.5331413471
123	0.5330350362
124	0.5329738521
125	0.5329005157
126	0.5328407093
127	0.5327997901
