iter	Passed	Remaining
0	3	482
1	7	460
2	11	464
3	15	470
4	19	473
5	23	478
6	27	470
7	30	463
8	34	460
9	38	456
10	42	447
11	46	445
12	49	440
13	53	436
14	57	434
15	61	428
16	64	423
17	69	423
18	74	427
19	78	422
20	81	417
21	85	412
22	88	405
23	92	402
24	96	398
25	100	395
26	104	389
27	107	385
28	111	379
29	114	374
30	117	369
31	121	364
32	124	359
33	127	353
34	131	348
35	134	344
36	138	339
37	141	335
38	144	330
39	148	326
40	151	321
41	154	316
42	158	312
43	161	308
44	164	304
45	168	300
46	171	296
47	174	291
48	178	287
49	181	283
50	185	279
51	188	275
52	191	271
53	195	267
54	199	264
55	202	260
56	206	256
57	209	252
58	212	249
59	216	245
60	220	241
61	223	238
62	227	234
63	230	230
64	234	226
65	237	223
66	241	219
67	244	215
68	248	212
69	251	208
70	254	204
71	257	200
72	261	196
73	264	193
74	268	189
75	271	185
76	274	181
77	277	178
78	281	174
79	284	170
80	286	166
81	289	162
82	293	158
83	296	155
84	299	151
85	302	147
86	305	144
87	309	140
88	312	136
89	315	133
90	318	129
91	322	126
92	325	122
93	329	119
94	332	115
95	336	112
96	339	108
97	342	104
98	345	101
99	349	97
100	352	94
101	354	90
102	358	86
103	361	83
104	364	79
105	367	76
106	370	72
107	373	69
108	376	65
109	379	62
110	382	58
111	386	55
112	389	51
113	393	48
114	396	44
115	399	41
116	402	37
117	405	34
118	409	30
119	412	27
120	415	24
121	418	20
122	422	17
123	426	13
124	430	10
125	433	6
126	436	3
127	439	0
