iter	Logloss
0	0.6638152345
1	0.6428398893
2	0.6278496883
3	0.6171174474
4	0.6094393733
5	0.6049467122
6	0.6016661752
7	0.5966772639
8	0.5930883971
9	0.591247127
10	0.5878846038
11	0.5860298516
12	0.5837086756
13	0.5814391415
14	0.5797764992
15	0.5777116832
16	0.5762122805
17	0.5754556287
18	0.5742415876
19	0.5735609483
20	0.5724947886
21	0.5717038075
22	0.5713199881
23	0.5710967053
24	0.5698843441
25	0.5685310479
26	0.5675558961
27	0.566960808
28	0.5669127292
29	0.5660275484
30	0.5651937845
31	0.5646851515
32	0.5645715754
33	0.5644887629
34	0.5644649046
35	0.5637811602
36	0.5636297908
37	0.5631066326
38	0.5624739758
39	0.562193873
40	0.5613755881
41	0.5609249018
42	0.5605084066
43	0.5599560948
44	0.5594318589
45	0.5591928351
46	0.5590213477
47	0.5588130223
48	0.5581820214
49	0.557907243
