iter	Passed	Remaining
0	18	5537
1	34	5132
2	51	5109
3	67	4991
4	83	4951
5	101	4979
6	119	4996
7	135	4958
8	152	4942
9	168	4891
10	185	4877
11	201	4844
12	219	4837
13	234	4795
14	251	4775
15	266	4739
16	282	4710
17	298	4670
18	313	4629
19	328	4593
20	343	4558
21	357	4521
22	372	4488
23	386	4449
24	401	4419
25	416	4389
26	431	4362
27	445	4331
28	461	4308
29	475	4278
30	490	4255
31	506	4240
32	521	4221
33	536	4196
34	551	4173
35	566	4152
36	582	4142
37	598	4124
38	613	4106
39	628	4083
40	642	4059
41	657	4039
42	672	4016
43	686	3994
44	700	3971
45	715	3949
46	729	3927
47	744	3910
48	759	3891
49	774	3870
50	789	3855
51	803	3834
52	818	3816
53	833	3795
54	848	3780
55	865	3769
56	880	3754
57	895	3735
58	910	3718
59	924	3699
60	939	3680
61	955	3666
62	970	3650
63	985	3632
64	1000	3615
65	1014	3598
66	1030	3584
67	1045	3566
68	1059	3547
69	1074	3531
70	1089	3514
71	1104	3496
72	1119	3479
73	1134	3463
74	1149	3448
75	1164	3431
76	1178	3414
77	1193	3397
78	1208	3379
79	1223	3363
80	1237	3345
81	1251	3327
82	1266	3311
83	1281	3294
84	1296	3278
85	1311	3262
86	1325	3246
87	1340	3229
88	1355	3213
89	1369	3195
90	1383	3178
91	1398	3161
92	1413	3145
93	1428	3131
94	1444	3116
95	1459	3100
96	1474	3084
97	1488	3067
98	1502	3051
99	1517	3034
100	1532	3018
101	1546	3001
102	1561	2986
103	1577	2972
104	1592	2957
105	1607	2942
106	1622	2926
107	1636	2910
108	1651	2894
109	1666	2877
110	1681	2863
111	1696	2848
112	1711	2831
113	1726	2816
114	1740	2800
115	1756	2785
116	1771	2770
117	1786	2754
118	1800	2739
119	1816	2724
120	1831	2708
121	1846	2693
122	1861	2678
123	1875	2662
124	1891	2648
125	1908	2635
126	1923	2620
127	1938	2605
128	1953	2589
129	1967	2573
130	1983	2558
131	1998	2543
132	2012	2527
133	2027	2511
134	2042	2496
135	2057	2480
136	2072	2466
137	2087	2450
138	2101	2434
139	2116	2418
140	2130	2402
141	2146	2388
142	2161	2373
143	2177	2358
144	2193	2344
145	2208	2329
146	2224	2315
147	2240	2300
148	2255	2285
149	2271	2271
150	2287	2256
151	2302	2241
152	2317	2226
153	2331	2210
154	2346	2194
155	2361	2179
156	2376	2164
157	2390	2148
158	2406	2134
159	2421	2119
160	2436	2103
161	2450	2087
162	2465	2072
163	2480	2057
164	2495	2041
165	2510	2026
166	2525	2011
167	2540	1995
168	2555	1980
169	2570	1965
170	2585	1950
171	2601	1936
172	2617	1921
173	2634	1907
174	2650	1892
175	2665	1877
176	2680	1862
177	2694	1846
178	2709	1831
179	2725	1816
180	2740	1801
181	2755	1786
182	2770	1771
183	2786	1756
184	2802	1741
185	2816	1726
186	2830	1710
187	2845	1695
188	2860	1679
189	2874	1664
190	2888	1648
191	2903	1633
192	2918	1617
193	2932	1602
194	2947	1587
195	2962	1572
196	2977	1556
197	2992	1541
198	3008	1526
199	3023	1511
200	3038	1496
201	3054	1481
202	3070	1467
203	3084	1451
204	3099	1436
205	3115	1421
206	3130	1406
207	3146	1391
208	3161	1376
209	3176	1361
210	3190	1345
211	3205	1330
212	3220	1315
213	3235	1300
214	3250	1284
215	3264	1269
216	3279	1254
217	3294	1239
218	3309	1223
219	3324	1208
220	3338	1193
221	3353	1178
222	3368	1163
223	3383	1147
224	3397	1132
225	3413	1117
226	3430	1103
227	3443	1087
228	3459	1072
229	3474	1057
230	3489	1042
231	3504	1027
232	3519	1011
233	3533	996
234	3548	981
235	3563	966
236	3577	951
237	3592	935
238	3608	920
239	3623	905
240	3639	891
241	3654	875
242	3669	860
243	3683	845
244	3698	830
245	3713	815
246	3728	799
247	3743	784
248	3758	769
249	3772	754
250	3787	739
251	3801	724
252	3816	709
253	3830	693
254	3845	678
255	3860	663
256	3875	648
257	3891	633
258	3906	618
259	3920	603
260	3935	588
261	3949	572
262	3964	557
263	3980	542
264	3994	527
265	4009	512
266	4023	497
267	4037	482
268	4052	467
269	4067	451
270	4081	436
271	4095	421
272	4111	406
273	4125	391
274	4140	376
275	4155	361
276	4170	346
277	4185	331
278	4202	316
279	4216	301
280	4231	286
281	4246	271
282	4262	256
283	4278	241
284	4293	225
285	4309	210
286	4324	195
287	4340	180
288	4355	165
289	4371	150
290	4386	135
291	4403	120
292	4417	105
293	4432	90
294	4448	75
295	4462	60
296	4477	45
297	4492	30
298	4508	15
299	4523	0
